,GENDER,STRATUM,CR_S11,CC_S11,ENG_S11,CR_PRO,CC_PRO,ENG_PRO,COL_GRADE_AVG,HI_GRADE_AVG,GENDER_bin
130,F,Stratum 2,62,68,52,71,61,67,66.33333333333333,60.666666666666664,1
131,M,Stratum 3,49,47,59,37,26,88,50.333333333333336,51.666666666666664,0
132,M,Stratum 2,75,72,92,97,94,99,96.66666666666667,79.66666666666667,0
133,M,Stratum 2,57,49,76,34,29,83,48.666666666666664,60.666666666666664,0
134,M,Stratum 3,58,68,71,87,90,83,86.66666666666667,65.66666666666667,0
135,M,Stratum 3,47,48,76,73,57,77,69.0,57.0,0
136,M,Stratum 4,62,50,88,22,32,97,50.333333333333336,66.66666666666667,0
137,F,Stratum 4,54,65,82,98,98,97,97.66666666666667,67.0,1
138,M,Stratum 2,56,56,92,98,99,98,98.33333333333333,68.0,0
139,M,Stratum 2,68,65,96,82,59,100,80.33333333333333,76.33333333333333,0
140,F,Stratum 3,60,59,67,32,65,73,56.666666666666664,62.0,1
141,M,Stratum 1,47,45,43,10,7,10,9.0,45.0,0
142,F,Stratum 2,54,53,57,53,83,55,63.666666666666664,54.666666666666664,1
143,M,Stratum 2,49,39,55,6,14,41,20.333333333333332,47.666666666666664,0
